Catégorie : Toutes les catégories

Mois,python data science: (Dans tous les pays),r data science: (Dans tous les pays),sas data science: (Dans tous les pays),keras deep learning: (Dans tous les pays),big data: (Dans tous les pays)
2004-01,0,0,0,0,6
2004-02,0,0,0,0,7
2004-03,0,0,0,0,5
2004-04,0,0,0,0,4
2004-05,0,0,0,0,5
2004-06,0,0,0,0,6
2004-07,0,0,0,0,6
2004-08,0,0,0,0,6
2004-09,0,0,0,0,6
2004-10,0,0,0,0,6
2004-11,0,0,0,0,5
2004-12,0,0,0,0,5
2005-01,0,0,0,0,5
2005-02,0,0,0,0,5
2005-03,0,0,0,0,6
2005-04,0,0,0,0,6
2005-05,0,0,0,0,6
2005-06,0,0,0,0,4
2005-07,0,0,0,0,5
2005-08,0,0,0,0,4
2005-09,0,0,0,0,6
2005-10,0,0,0,0,5
2005-11,0,0,0,0,5
2005-12,0,0,0,0,4
2006-01,0,0,0,0,5
2006-02,0,0,0,0,5
2006-03,0,0,0,0,5
2006-04,0,0,0,0,5
2006-05,0,0,0,0,4
2006-06,0,0,0,0,4
2006-07,0,0,0,0,4
2006-08,0,0,0,0,4
2006-09,0,0,0,0,4
2006-10,0,0,0,0,4
2006-11,0,0,0,0,4
2006-12,0,0,0,0,3
2007-01,0,0,0,0,4
2007-02,0,0,0,0,4
2007-03,0,0,0,0,4
2007-04,0,0,0,0,4
2007-05,0,0,0,0,4
2007-06,0,0,0,0,4
2007-07,0,0,0,0,4
2007-08,0,0,0,0,4
2007-09,0,0,0,0,5
2007-10,0,0,0,0,5
2007-11,0,0,0,0,4
2007-12,0,0,0,0,3
2008-01,0,0,0,0,5
2008-02,0,0,0,0,4
2008-03,0,0,0,0,5
2008-04,0,0,0,0,4
2008-05,0,0,0,0,4
2008-06,0,0,0,0,4
2008-07,0,0,0,0,5
2008-08,0,0,0,0,5
2008-09,0,0,0,0,5
2008-10,0,0,0,0,5
2008-11,0,0,0,0,5
2008-12,0,0,0,0,4
2009-01,0,0,0,0,4
2009-02,0,0,0,0,5
2009-03,0,0,0,0,6
2009-04,0,0,0,0,5
2009-05,0,0,0,0,5
2009-06,0,0,0,0,4
2009-07,0,0,0,0,5
2009-08,0,0,0,0,5
2009-09,0,0,0,0,5
2009-10,0,0,0,0,5
2009-11,0,0,0,0,5
2009-12,0,0,0,0,5
2010-01,0,0,0,0,6
2010-02,0,0,0,0,5
2010-03,0,0,0,0,6
2010-04,0,0,0,0,5
2010-05,0,0,0,0,5
2010-06,0,0,0,0,5
2010-07,0,0,0,0,6
2010-08,0,0,0,0,6
2010-09,0,0,0,0,6
2010-10,0,0,0,0,5
2010-11,0,0,0,0,6
2010-12,0,0,0,0,6
2011-01,0,0,0,0,7
2011-02,0,0,0,0,7
2011-03,0,0,0,0,7
2011-04,0,0,0,0,7
2011-05,0,0,0,0,8
2011-06,0,0,0,0,8
2011-07,0,0,0,0,8
2011-08,0,0,0,0,9
2011-09,0,0,0,0,10
2011-10,0,0,0,0,12
2011-11,0,0,0,0,13
2011-12,0,0,0,0,12
2012-01,0,0,0,0,15
2012-02,0,0,0,0,20
2012-03,0,0,0,0,21
2012-04,0,0,0,0,24
2012-05,0,0,0,0,26
2012-06,0,0,0,0,25
2012-07,0,0,0,0,26
2012-08,0,0,0,0,27
2012-09,0,0,0,0,32
2012-10,0,0,0,0,38
2012-11,0,0,0,0,39
2012-12,0,0,0,0,35
2013-01,0,0,0,0,41
2013-02,0,0,0,0,45
2013-03,0,0,0,0,52
2013-04,0,0,0,0,56
2013-05,0,0,0,0,54
2013-06,0,0,0,0,55
2013-07,0,0,0,0,54
2013-08,0,0,0,0,54
2013-09,0,0,0,0,60
2013-10,0,0,0,0,65
2013-11,0,0,0,0,64
2013-12,0,0,0,0,56
2014-01,0,0,0,0,65
2014-02,0,0,0,0,72
2014-03,0,0,0,0,76
2014-04,0,1,0,0,74
2014-05,0,1,0,0,73
2014-06,0,0,0,0,71
2014-07,0,0,0,0,77
2014-08,0,0,0,0,74
2014-09,0,0,0,0,84
2014-10,0,1,0,0,87
2014-11,0,1,0,0,85
2014-12,0,1,0,0,75
2015-01,0,1,0,0,81
2015-02,0,1,0,0,88
2015-03,0,1,0,0,93
2015-04,1,1,0,0,88
2015-05,1,1,0,0,83
2015-06,1,1,0,0,84
2015-07,1,1,0,0,78
2015-08,1,1,0,0,77
2015-09,1,1,0,0,89
2015-10,1,1,0,0,89
2015-11,1,1,0,0,87
2015-12,1,1,0,0,76
2016-01,1,1,0,0,79
2016-02,1,1,0,0,93
2016-03,1,1,0,0,90
2016-04,1,1,0,0,89
2016-05,1,1,0,0,87
2016-06,1,1,0,0,86
2016-07,1,1,0,0,78
2016-08,1,1,0,0,78
2016-09,2,1,0,0,89
2016-10,2,1,0,0,88
2016-11,2,2,0,0,94
2016-12,2,2,0,0,81
2017-01,3,2,0,1,89
2017-02,3,2,0,1,96
2017-03,3,2,0,1,100
2017-04,3,2,0,1,94
2017-05,3,2,0,1,92
2017-06,3,2,0,1,85
2017-07,3,2,0,1,81
2017-08,3,2,0,1,81
