Catégorie : Toutes les catégories

Mois,python data science: (Dans tous les pays),r data science: (Dans tous les pays),sas data science: (Dans tous les pays),keras deep learning: (Dans tous les pays)
2004-01,0,10,0,0
2004-02,0,0,10,0
2004-03,0,0,0,0
2004-04,0,10,0,0
2004-05,8,0,0,0
2004-06,8,8,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,0,0,0,0
2004-10,0,8,0,0
2004-11,0,8,8,0
2004-12,0,0,0,0
2005-01,0,0,0,0
2005-02,7,7,0,0
2005-03,0,0,0,0
2005-04,0,0,0,0
2005-05,0,0,0,0
2005-06,0,5,5,0
2005-07,0,0,0,0
2005-08,0,0,0,0
2005-09,0,5,0,0
2005-10,0,4,0,0
2005-11,0,7,0,0
2005-12,0,0,0,0
2006-01,0,0,0,0
2006-02,4,4,4,0
2006-03,0,3,0,0
2006-04,0,0,0,0
2006-05,0,3,3,0
2006-06,0,0,0,0
2006-07,3,0,0,0
2006-08,0,0,3,0
2006-09,0,0,0,0
2006-10,3,0,3,0
2006-11,0,0,0,0
2006-12,0,3,0,0
2007-01,0,3,3,0
2007-02,3,3,0,0
2007-03,0,2,0,0
2007-04,0,2,2,0
2007-05,2,2,0,0
2007-06,0,0,0,0
2007-07,2,2,0,0
2007-08,0,0,0,0
2007-09,0,2,2,0
2007-10,2,4,2,0
2007-11,2,2,0,0
2007-12,2,2,2,0
2008-01,2,0,0,0
2008-02,2,2,2,0
2008-03,0,2,2,0
2008-04,2,3,0,0
2008-05,0,1,2,0
2008-06,2,0,2,0
2008-07,0,2,2,0
2008-08,1,2,1,0
2008-09,0,1,1,0
2008-10,1,1,1,0
2008-11,1,1,1,0
2008-12,0,1,1,0
2009-01,0,2,1,0
2009-02,1,2,1,0
2009-03,0,1,0,0
2009-04,0,0,1,0
2009-05,0,1,3,0
2009-06,0,1,2,0
2009-07,1,1,0,0
2009-08,1,2,1,0
2009-09,1,1,1,0
2009-10,1,1,2,0
2009-11,1,1,1,0
2009-12,1,0,0,0
2010-01,1,2,1,0
2010-02,1,1,1,0
2010-03,0,1,1,0
2010-04,1,1,0,0
2010-05,2,3,1,0
2010-06,0,1,1,0
2010-07,0,2,0,0
2010-08,2,1,0,0
2010-09,0,1,1,0
2010-10,1,1,1,0
2010-11,1,1,0,0
2010-12,1,2,0,0
2011-01,1,1,1,0
2011-02,1,1,1,0
2011-03,0,2,1,0
2011-04,0,1,1,0
2011-05,1,2,1,0
2011-06,1,1,1,0
2011-07,1,2,1,0
2011-08,1,2,1,0
2011-09,1,2,1,0
2011-10,1,2,1,0
2011-11,1,1,1,0
2011-12,1,2,1,0
2012-01,1,1,1,0
2012-02,2,2,1,0
2012-03,1,2,0,0
2012-04,1,1,1,0
2012-05,1,2,1,0
2012-06,1,2,0,0
2012-07,1,2,0,0
2012-08,1,1,0,0
2012-09,1,3,1,0
2012-10,1,2,1,0
2012-11,2,2,1,0
2012-12,1,2,1,0
2013-01,1,2,1,0
2013-02,2,3,1,0
2013-03,2,4,1,0
2013-04,2,4,1,0
2013-05,4,5,1,0
2013-06,3,6,1,0
2013-07,4,3,1,0
2013-08,3,4,1,0
2013-09,4,6,1,0
2013-10,4,5,1,0
2013-11,6,6,1,0
2013-12,6,5,1,0
2014-01,7,7,1,0
2014-02,9,10,1,0
2014-03,6,10,1,0
2014-04,9,16,2,0
2014-05,9,17,1,0
2014-06,7,14,1,0
2014-07,9,14,2,0
2014-08,8,13,3,0
2014-09,8,13,2,0
2014-10,12,17,3,0
2014-11,14,15,3,0
2014-12,13,17,2,0
2015-01,14,19,2,0
2015-02,13,20,3,0
2015-03,13,21,3,0
2015-04,18,25,3,0
2015-05,20,23,3,1
2015-06,20,27,3,1
2015-07,27,30,4,1
2015-08,28,28,4,1
2015-09,28,30,3,1
2015-10,28,31,5,1
2015-11,28,27,4,2
2015-12,29,26,5,2
2016-01,33,29,5,2
2016-02,31,32,4,2
2016-03,32,32,5,4
2016-04,34,31,6,4
2016-05,38,31,6,5
2016-06,40,36,5,6
2016-07,39,34,6,6
2016-08,38,35,5,7
2016-09,48,42,5,7
2016-10,51,39,6,8
2016-11,56,49,6,11
2016-12,60,46,6,13
2017-01,77,56,7,15
2017-02,76,54,8,16
2017-03,84,57,8,22
2017-04,83,61,7,24
2017-05,80,61,8,24
2017-06,87,56,8,25
2017-07,95,64,9,24
2017-08,100,58,7,24
