Kategori: Alla kategorier

Månad,r machine learning: (Över hela världen),python machine learning: (Över hela världen),sas machine learning: (Över hela världen)
2004-01,0,5,0
2004-02,5,0,5
2004-03,6,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,4,0,0
2004-07,4,4,0
2004-08,0,0,0
2004-09,7,3,0
2004-10,4,0,0
2004-11,0,7,0
2004-12,3,3,0
2005-01,0,9,0
2005-02,3,3,0
2005-03,3,0,3
2005-04,3,6,3
2005-05,2,0,0
2005-06,3,0,0
2005-07,3,4,0
2005-08,2,2,0
2005-09,2,0,0
2005-10,2,3,0
2005-11,0,0,0
2005-12,3,2,0
2006-01,3,3,0
2006-02,3,0,0
2006-03,2,2,0
2006-04,2,2,0
2006-05,4,2,0
2006-06,2,0,2
2006-07,2,2,0
2006-08,2,0,0
2006-09,0,1,0
2006-10,3,1,0
2006-11,2,3,0
2006-12,2,1,1
2007-01,2,0,0
2007-02,2,2,0
2007-03,2,1,1
2007-04,1,1,1
2007-05,2,2,1
2007-06,1,2,1
2007-07,1,2,0
2007-08,1,1,1
2007-09,1,1,1
2007-10,2,2,1
2007-11,2,1,0
2007-12,2,1,0
2008-01,1,1,0
2008-02,2,1,0
2008-03,2,1,0
2008-04,1,1,0
2008-05,1,1,0
2008-06,2,1,0
2008-07,1,1,1
2008-08,1,1,0
2008-09,1,1,0
2008-10,1,2,0
2008-11,3,2,1
2008-12,2,1,0
2009-01,1,1,1
2009-02,2,1,0
2009-03,2,1,0
2009-04,2,1,1
2009-05,2,2,1
2009-06,1,1,1
2009-07,1,1,1
2009-08,1,2,1
2009-09,2,1,0
2009-10,2,1,0
2009-11,2,1,0
2009-12,1,2,0
2010-01,2,1,0
2010-02,1,2,1
2010-03,1,1,0
2010-04,2,2,1
2010-05,2,1,1
2010-06,1,2,0
2010-07,1,1,0
2010-08,1,2,0
2010-09,2,3,0
2010-10,2,3,0
2010-11,3,2,0
2010-12,2,2,0
2011-01,1,2,0
2011-02,2,2,0
2011-03,2,2,0
2011-04,2,3,0
2011-05,2,3,0
2011-06,2,3,0
2011-07,2,2,1
2011-08,1,2,0
2011-09,3,2,0
2011-10,3,4,0
2011-11,2,3,0
2011-12,3,4,0
2012-01,2,3,0
2012-02,3,5,0
2012-03,4,3,0
2012-04,4,3,0
2012-05,4,4,0
2012-06,4,5,1
2012-07,3,4,1
2012-08,3,4,0
2012-09,4,6,0
2012-10,4,5,0
2012-11,4,5,0
2012-12,5,5,0
2013-01,4,5,1
2013-02,5,5,0
2013-03,4,6,1
2013-04,4,6,1
2013-05,5,7,1
2013-06,5,7,0
2013-07,5,7,1
2013-08,4,6,1
2013-09,5,7,0
2013-10,6,11,0
2013-11,8,12,1
2013-12,8,11,0
2014-01,9,10,1
2014-02,8,11,0
2014-03,8,11,1
2014-04,14,14,1
2014-05,10,11,1
2014-06,14,10,0
2014-07,13,11,0
2014-08,13,11,0
2014-09,14,11,1
2014-10,14,14,1
2014-11,15,12,1
2014-12,16,14,1
2015-01,15,15,1
2015-02,18,15,1
2015-03,16,16,1
2015-04,18,19,1
2015-05,15,18,1
2015-06,20,20,1
2015-07,18,20,1
2015-08,17,20,1
2015-09,20,21,1
2015-10,17,25,1
2015-11,19,27,1
2015-12,20,26,2
2016-01,18,29,2
2016-02,20,32,1
2016-03,23,35,1
2016-04,22,38,2
2016-05,21,38,1
2016-06,26,42,2
2016-07,18,39,2
2016-08,22,38,1
2016-09,24,44,2
2016-10,24,48,2
2016-11,24,55,3
2016-12,25,59,2
2017-01,27,66,2
2017-02,30,75,3
2017-03,32,80,3
2017-04,32,80,3
2017-05,32,83,3
2017-06,31,92,3
2017-07,33,93,3
2017-08,33,100,2
